@RELATION SALARY
@ATTRIBUTE age {18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35}
@ATTRIBUTE skills {internet of things, java, c, c++, python, php, android, ios, hr management, marketing, hybernate, javaee, servlet, react, angular, mern, mean, nodejs, expressjs, iot, machine learning, ml, virtual reality, vr, artificial intelligence, ai, blockchain, augmented reality, ar, cloud computing, intelligent apps, i–apps, big data, robotic process automation, rpa, .net, ruby, wordpress, c#, cpp, sql, js, html, css, react native, javascript, oop, aop, jsp, rest, ajax, jee, ejb, jms, xml, hibernate, spring, ionic, node, swift, oracle, r, test case writing, graphics, use cases, uml diagrams, test cases, selenium, microservices, saas, paas, clean and tested commits to git, docker, kubernates, istio, aws, apache kafka, elastic, bdd, test automation, spring, hibernate/j pa, node js, oracle, webapi, .net 4.6/4.7, .net core, linq, entity framework, sql server, java design patterns, architecture patterns, jsp/servelets, spring, spring boot, hibernate, soa, designing systems, database and deployment architecture, mysql, linux and windows operating systems, experience in code reviewing, team grooming, cake php, laravel, ruby on rails, restful, experience on cross browser compatibility, w3c standards, database concepts, relational databases, experience on unix/linux, bootstrap, react js, rest api, unit testing framework, spring framework, mssql, nosql, unit testing, engineering best practices, build, package and deployment tools, experience in one or more web and application servers, oracle 11g, pl sql, jquery, javascript, html5, knowledge in quality assurance and testing, test management(manual), automation and performance tools, selenium, knowledge on agile/scrum, knowledge in automation and performance, knowledge in software development, spring boot/cloud, database clustering, multi-tenant application design, load balancing, designing time critical application and high transactional application, jenkins, elasticsearch, artificial intelligence, activity engine, activity engine , mvc, mvvm, riot, typescript, webpack, restful api, sass, less, ability to work within deadlines, problem solving and communication skills, ability to learn new technologies quickly, ability to understand the importance of customer service, innovative and forward thinking, functional, ui, web services, performance testing, problem solving skills, jmeter, jira, scrum process, knowledge in test management tools, seo, java/j2ee, apex, soap, j2ee/jee, reactjs, angularjs, selinium, knowledge on software quality assurance and testing, java script, linux}
@ATTRIBUTE job {associate software eng, software eng, senior software eng, assistant account, accountant, devops eng, quality assurance eng, intern, cloud architect, cloud consultant, cloud product and project manager, cloud services developer, cloud software and network engineer, cloud system administrator, cloud system engineer, computer and information research scientist, computer and information systems manager, computer network architect, computer systems analyst, computer systems manager, it analyst, it coordinator, network administrator, network architect, network and computer systems administrator, network engineer, network systems administrator, senior network architect, senior network engineer, senior network system administrator, telecommunications specialist, customer support administrator, customer support specialist, desktop support manager, desktop support specialist, help desk specialist, help desk technician, it support manager, it support specialist, it systems administrator, senior support specialist, senior system administrator, support specialist, systems administrator, technical specialist, technical support engineer, technical support specialist, data center support specialist, data quality manager, database administrator, senior database administrator, application support analyst, senior system analyst, systems analyst, systems designer, chief information officer, chief technology officer, director of technology, it director, it manager, management information systems director, technical operations officer, information security, security specialist, senior security specialist, application developer, applications engineer, associate developer, computer programmer, developer, java developer, junior software engineer, .net developer, programmer analyst, senior applications engineer, senior programmer, senior programmer analyst, senior software engineer, senior system architect, senior system designer, senior systems software engineer, software architect, software developer, software engineer, software quality assurance analyst, system architect, systems software engineer, front end developer, senior web administrator, senior web developer, web administrator, web developer, webmaster, associate software engineer, software engineering, trainee software engineer, associate quality assurance engineer, associate qa engineer, trainee qa, intern qa, ba, senior software engineer, senior software quality assurance engineer, associate software quality engineer, associate software quality assurance engineer, bsc in computer science, information technology or equivalent professional qualification, senior qa engineer, trainee business analyst, data engineer, social media consultant, qa engineer, business analyst, associate qa lead, qa lead, software quality assurance engineer}
@ATTRIBUTE experience_yrs {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@ATTRIBUTE university {sliit, saitm, cinec, nibm, nsbm, apiit, anc, kdu, university of colombo, university of peradeniya, university of moratuwa, university of kelaniya, university of ruhuna, university of sri jayewardenepura, university of jaffna, university of the visual & performing arts, open university of sri lanka, wayamba university of sri lanka, sabaragamuwa university of sri lanka, eastern university of sri lanka, rajarata university of sri lanka, south eastern university of sri lanka, uva wellassa university, american college of higher education, auston institute, australian college of business and technology, business management school, bms, british college of applied studies, bcas, ebusiness academy, eba, esoft metro campus, esoft, excellence college of management, imperial institute of higher education, industrial master, informatics institute of technology, iit, institute of technological studies, international college of business and technology, icbt, northshore college of business & technology, pioneer institute of business and technology, royal institute of colombo, south asian institute of technology and medicine, sri lanka institute of information technology, technoplus automation, edulink international campus, kasp learning campus, klc}
@ATTRIBUTE degree {it, se, cyber, bm, en, bsc(hons) in information technology, bsc (hons) in it, bsc in computer science, bachelor's degree or higher qualification in computer science/engineering, degree or similar educational qualification in it or computer science, degree related to information technology/computer science or software engineering, bachelor's degree in computer science/mis or equivalent experience, bachelor's degree in computing or information technology, bsc in computer science or related discipline or it, bsc in computer science or related discipline or equivalent professional qualification, b.sc. in computer science related discipline or equivalent professinal qualification, bsc(hons) in it, bsc in it, bsc.in it, bsc in computer science}
@ATTRIBUTE specialization {software eng, cyber security, it, account, marketing, software engineering, information technology, bsc in computer science, data science, computer science}
@ATTRIBUTE salary {10000-15000, 15000-30000, 30000-60000, 60000-100000, 100000-150000, 150000-200000, 200000-250000, 250000-300000, 300000-350000, 350000-400000, 400000-500000, 500000-700000, 700000-1000000, >1000000}
@DATA
30,java,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,oop,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,aop,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,jsp,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,rest,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,ajax,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,javascript,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,css,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,html,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,jee,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,ejb,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,jms,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,xml,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,hibernate,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,spring,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
30,sql,senior software engineer,5,university of moratuwa,bsc(hons) in information technology,software eng,200000-250000
24,react native,trainee software engineer,1,sliit,bsc(hons) in information technology,software engineering,15000-30000
24,android,trainee software engineer,1,sliit,bsc(hons) in information technology,software engineering,15000-30000
24,javascript,trainee software engineer,1,sliit,bsc(hons) in information technology,software engineering,15000-30000
24,angular,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,60000-100000
24,.net,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,60000-100000
20,android,intern,0,sliit,it,it,10000-15000
20,ios,intern,0,sliit,it,it,10000-15000
20,java,intern,0,sliit,it,it,10000-15000
20,c,intern,0,sliit,it,it,10000-15000
23,java,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,php,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,mern,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,wordpress,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,c#,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,python,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,cpp,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,c,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,sql,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,js,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,html,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
23,css,associate software engineer,1,sri lanka institute of information technology,bsc(hons) in information technology,software eng,60000-100000
20,java,associate software eng,1,nsbm,se,software eng,30000-60000
20,c,associate software eng,1,nsbm,se,software eng,30000-60000
20,android,associate software eng,1,nsbm,se,software eng,30000-60000
25,php,software eng,4,cinec,cyber,cyber security,60000-100000
25,android,software eng,4,cinec,cyber,cyber security,60000-100000
25,ios,software eng,4,cinec,cyber,cyber security,60000-100000
22,react,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,react native,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,angular,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,ionic,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,c,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,c++,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,c#,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,java,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,python,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,node,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
22,swift,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
23,java,associate software engineer,1,sliit,bsc(hons) in information technology,software engineering,30000-60000
24,java,trainee business analyst,1,sliit,bsc(hons) in information technology,information technology,15000-30000
24,c,trainee business analyst,1,sliit,bsc(hons) in information technology,information technology,15000-30000
24,c++,trainee business analyst,1,sliit,bsc(hons) in information technology,information technology,15000-30000
25,python,data engineer,1,sliit,bsc(hons) in information technology,data science,30000-60000
25,java,data engineer,1,sliit,bsc(hons) in information technology,data science,30000-60000
25,oracle,data engineer,1,sliit,bsc(hons) in information technology,data science,30000-60000
25,r,data engineer,1,sliit,bsc(hons) in information technology,data science,30000-60000
23,java,associate quality assurance engineer,1,sliit,bsc(hons) in information technology,information technology,30000-60000
23,test case writing,associate quality assurance engineer,1,sliit,bsc(hons) in information technology,information technology,30000-60000
